Name		Guthling	: {	1	:{
Name		Giant_Crypt_Rat	: {	41	:{
1	: ?	DOUBLE EDGE	?.		
1	: ?	ENDEAVOR	?.		
1	: ?	TAUNT	?.		
1	: ?	TACKLE	?.		
1	: ?	SHARPEN	?.		
5	: ?	BITE	?.		
9	: ?	FOCUS ENERGY	?.		
10	: ?	POISON FANG	?.		
13	: ?	SUPER FANG	?.		
16	: ?	HYPER FANG	?.		
19	: ?	SHADOW SNEAK	?.		
24	: ?	CRUNCH	?.		
32	: ?	WORK UP	?.		
36	: ?	SMACK DOWN	?.		
39	: ?	DOUBLE EDGE	?.		
44	: ?	SWORDS DANCE	?.		}.}.
Name		Warped_Rat	: {	42	:{
1	: ?	DOUBLE EDGE	?.		
1	: ?	POWER TRIP	?.		
1	: ?	CONFUSION	?.		
1	: ?	TACKLE	?.		
1	: ?	CONFUSE RAY	?.		
5	: ?	BITE	?.		
9	: ?	FOCUS ENERGY	?.		
10	: ?	PSYWAVE	?.		
13	: ?	SUPER FANG	?.		
16	: ?	HYPER FANG	?.		
19	: ?	SHADOW SNEAK	?.		
24	: ?	CRUNCH	?.		
32	: ?	RECYCLE	?.		
36	: ?	PSYCHIC FANGS	?.		
39	: ?	DOUBLE EDGE	?.		
44	: ?	AMNESIA	?.		}.}.
Name		Zombie_Rat	: {	43	:{
1	: ?	DOUBLE EDGE	?.		
1	: ?	POWER TRIP	?.		
1	: ?	CURSE	?.		
1	: ?	TACKLE	?.		
1	: ?	TAIL WHIP	?.		
5	: ?	BITE	?.		
9	: ?	FOCUS ENERGY	?.		
10	: ?	LICK	?.		
13	: ?	SUPER FANG	?.		
16	: ?	HYPER FANG	?.		
19	: ?	SHADOW SNEAK	?.		
24	: ?	CRUNCH	?.		
32	: ?	WORK UP	?.		
36	: ?	SHADOW CLAW	?.		
39	: ?	DOUBLE EDGE	?.		
44	: ?	DESTINY BOND	?.		}.}.
Name		King_Rat	: {	44	:{
1	: ?	DOUBLE EDGE	?.		
1	: ?	POWER TRIP	?.		
1	: ?	TAUNT	?.		
1	: ?	TACKLE	?.		
1	: ?	INSTRUCT	?.		
4	: ?	BITE	?.		
7	: ?	FOCUS ENERGY	?.		
10	: ?	POISON FANG	?.		
13	: ?	SUPER FANG	?.		
16	: ?	HYPER FANG	?.		
19	: ?	MORNING SUN	?.		
24	: ?	CRUNCH	?.		
29	: ?	WORK UP	?.		
34	: ?	FOUL PLAY	?.		
39	: ?	DAZZLING GLEAM	?.		
44	: ?	AGILITY	?.		}.}.
Name		Giant_King_Rat	: {	45	:{
1	: ?	DOUBLE EDGE	?.		
1	: ?	POWER TRIP	?.		
1	: ?	TAUNT	?.		
1	: ?	TACKLE	?.		
1	: ?	INSTRUCT	?.		
5	: ?	BITE	?.		
9	: ?	FOCUS ENERGY	?.		
10	: ?	GUILLOTINE	?.		
13	: ?	SUPER FANG	?.		
16	: ?	HYPER FANG	?.		
19	: ?	MORNING SUN	?.		
24	: ?	CRUNCH	?.		
32	: ?	NOBLE ROAR	?.		
36	: ?	FOUL PLAY	?.		
39	: ?	DAZZLING GLEAM	?.		
44	: ?	GIGA IMPACT	?.		}.}.
Name		Angry_Rat	: {	46	:{
1	: ?	DOUBLE EDGE	?.		
1	: ?	POWER TRIP	?.		
1	: ?	TAUNT	?.		
1	: ?	RAGE	?.		
1	: ?	TAIL WHIP	?.		
5	: ?	BITE	?.		
9	: ?	FOCUS ENERGY	?.		
10	: ?	VITAL THROW	?.		
13	: ?	SUPER FANG	?.		
16	: ?	HYPER FANG	?.		
19	: ?	FRUSTRATION	?.		
24	: ?	CRUNCH	?.		
32	: ?	BULK UP	?.		
36	: ?	REVENGE	?.		
39	: ?	DOUBLE EDGE	?.		
44	: ?	WORK UP	?.		}.}.
Name		Blessed_Rat	: {	47	:{
1	: ?	DOUBLE EDGE	?.		
1	: ?	THUNDER  	?.		
1	: ?	TAUNT	?.		
1	: ?	TACKLE	?.		
1	: ?	TAIL WHIP	?.		
5	: ?	BITE	?.		
9	: ?	FOCUS ENERGY	?.		
10	: ?	THUNDER FANG	?.		
13	: ?	SUPER FANG	?.		
16	: ?	HYPER FANG	?.		
19	: ?	MORNING SUN	?.		
24	: ?	CRUNCH	?.		
32	: ?	WORK UP	?.		
36	: ?	WILD CHARGE	?.		
39	: ?	DOUBLE EDGE	?.		
44	: ?	ELECTRIFY	?.		}.}.
Name		Lamb	: {	48	:{
1	: ?	TACKLE 	?.		
1	: ?	GROWL	?.		
4	: ?	LEER	?.		
7	: ?	QUICK ATTACK	?.		
10	: ?	COTTON SPORE	?.		
13	: ?	COVET	?.		
14	: ?	PLAY NICE	?.		
16	: ?	HEADBUTT	?.		
21	: ?	BODY SLAM	?.		
24	: ?	MILK DRINK	?.		
28	: ?	CHARM	?.		
31	: ?	RETURN	?.		
34	: ?	COTTON GUARD	?.		}.}.
Name		Sheep	: {	49	:{
1	: ?	RETALIATE	?.		
1	: ?	TACKLE	?.		
1	: ?	GROWL	?.		
1	: ?	LEER	?.		
4	: ?	QUICK ATTACK	?.		
7	: ?	COTTON SPORE	?.		
10	: ?	COVET	?.		
13	: ?	PLAY NICE	?.		
16	: ?	HEADBUTT	?.		
19	: ?	CAPTIVATE	?.		
24	: ?	BODY SLAM	?.		
29	: ?	RETALIATE	?.		
32	: ?	REST	?.		
35	: ?	RETURN	?.		
40	: ?	COTTON GUARD	?.		
44	: ?	DOUBLE EDGE	?.		}.}.
Name		Ram	: {	50	:{
1	: ?	THRASH	?.		
1	: ?	RAGE	?.		
1	: ?	GROWL	?.		
1	: ?	LEER	?.		
4	: ?	QUICK ATTACK	?.		
7	: ?	FOCUS ENERGY	?.		
10	: ?	SCARY FACE	?.		
13	: ?	TAKE DOWN	?.		
16	: ?	PLAY ROUGH	?.		
19	: ?	SKULL BASH	?.		
24	: ?	BODY SLAM	?.		
29	: ?	JUMP KICK	?.		
32	: ?	REST	?.		
35	: ?	HEAD CHARGE	?.		
40	: ?	WORK UP	?.		
44	: ?	CLOSE COMBAT	?.		}.}.
Name		Pirate_Sheep	: {	51	:{
1	: ?	FOUL PLAY	?.		
1	: ?	TACKLE	?.		
1	: ?	GROWL	?.		
1	: ?	LEER	?.		
4	: ?	QUICK ATTACK	?.		
7	: ?	IMPRISON	?.		
10	: ?	PAY DAY	?.		
13	: ?	THIEF	?.		
16	: ?	SNATCH	?.		
19	: ?	SWAGGER	?.		
24	: ?	BODY SLAM	?.		
29	: ?	POWER TRIP	?.		
32	: ?	REST	?.		
35	: ?	FOUL PLAY	?.		
40	: ?	CURSE	?.		
44	: ?	CLOSE COMBAT	?.		}.}.
Name		Sardine	: {	52	:{
1	: ?	SPLASH	?.		
6	: ?	TACKLE	?.		
10	: ?	AQUA JET	?.		
13	: ?	NOBLE ROAR	?.		
18	: ?	RAIN DANCE	?.		
25	: ?	BUBBLE BEAM	?.		
32	: ?	AQUA RING	?.		
40	: ?	SOAK	?.		}.}.
Name		Herring	: {	53	:{
1	: ?	SPLASH	?.		
1	: ?	TACKLE	?.		
4	: ?	BUBBLE	?.		
7	: ?	TAILWIND	?.		
10	: ?	AQUA JET	?.		
15	: ?	WATER SPORT	?.		
18	: ?	WATER PULSE	?.		
21	: ?	RAIN DANCE	?.		
24	: ?	WHIRLPOOL	?.		
29	: ?	AQUA RING	?.		
31	: ?	AMNESIA	?.		
34	: ?	SOAK	?.		}.}.
Name		Trout_Normal_Form	: {	54*	:{
1	: ?	ICE BEAM	?.		
1	: ?	SPLASH	?.		
1	: ?	TACKLE	?.		
1	: ?	BUBBLE	?.		
5	: ?	FOCUS ENERGY	?.		
10	: ?	AQUA JET	?.		
15	: ?	WATER SPORT	?.		
20	: ?	WATER PULSE	?.		
25	: ?	RAIN DANCE	?.		
30	: ?	WHIRLPOOL	?.		
34	: ?	AQUA TAIL	?.		
38	: ?	AQUA RING	?.		
42	: ?	BOUNCE	?.		
46	: ?	DIVE	?.		
51	: ?	SOAK	?.		}.}.
Name		Trout_Tropical_Form	: {	54*	:{
1	: ?	WATER GUN	?.		
6	: ?	TACKLE	?.		
10	: ?	WATER SPORT	?.		
13	: ?	WATER PULSE	?.		
18	: ?	HEADBUTT	?.		
25	: ?	SOAK	?.		
32	: ?	FLAIL	?.		
40	: ?	AMNESIA	?.		}.}.
Name		Trout_Leaping_Form	: {	54*	:{
1	: ?	SPLASH	?.		
1	: ?	BUBBLE	?.		
4	: ?	TAIL WHIP	?.		
9	: ?	TACKLE	?.		
15	: ?	BUBBLEBEAM	?.		
19	: ?	TAKE DOWN	?.		
22	: ?	FLASH 	?.		
25	: ?	WATER PULSE	?.		
34	: ?	SOAK	?.		
40	: ?	FLAIL	?.		
43	: ?	DOUBLE EDGE	?.		
48	: ?	WATERFALL	?.		}.}.
Name		Swordfish	: {	55	:{
1	: ?	SACRED SWORD	?.		
1	: ?	SPLASH	?.		
1	: ?	TACKLE	?.		
1	: ?	BUBBLE	?.		
5	: ?	FOCUS ENERGY	?.		
10	: ?	AQUA TAIL	?.		
15	: ?	WATER SPORT	?.		
20	: ?	WATER PULSE	?.		
25	: ?	RAIN DANCE	?.		
30	: ?	WHIRLPOOL	?.		
34	: ?	AQUA TAIL	?.		
38	: ?	AQUA RING	?.		
42	: ?	SWORDS DANCE	?.		
46	: ?	FLYING PRESS	?.		
51	: ?	DIVE	?.		
57	: ?	SOAK	?.		
62	: ?	SACRED SWORD	?.		}.}.
Name		Salmon_Normal_Form	: {	56*	:{
1	: ?	WATERFALL	?.		
1	: ?	SPLASH	?.		
1	: ?	BUBBLE	?.		
5	: ?	TAILWIND	?.		
9	: ?	BITE	?.		
15	: ?	BUBBLEBEAM	?.		
19	: ?	TAKE DOWN	?.		
23	: ?	FLASH 	?.		
27	: ?	SCALD	?.		
35	: ?	SOAK	?.		
41	: ?	CRUNCH	?.		
45	: ?	DOUBLE EDGE	?.		
50	: ?	WATERFALL	?.		
54	: ?	AGILITY	?.		}.}.
Name		Salmon_Leaping_Form	: {	56*	:{
1	: ?	WATERFALL	?.		
1	: ?	SPLASH	?.		
1	: ?	BUBBLE	?.		
5	: ?	TAIL WHIP	?.		
9	: ?	BITE	?.		
15	: ?	BUBBLEBEAM	?.		
19	: ?	TAKE DOWN	?.		
23	: ?	FLASH 	?.		
27	: ?	WATER PULSE 	?.		
35	: ?	SOAK	?.		
41	: ?	CRUNCH	?.		
45	: ?	DOUBLE EDGE	?.		
50	: ?	WATERFALL	?.		
54	: ?	SWORDS DANCE	?.		}.}.
Name		Sturgeon	: {	57	:{
1	: ?	LIQUIDATION	?.		
1	: ?	WATERFALL	?.		
1	: ?	SPLASH	?.		
1	: ?	BUBBLE	?.		
5	: ?	TAIL WHIP	?.		
9	: ?	BITE	?.		
16	: ?	BUBBLEBEAM	?.		
21	: ?	TAKE DOWN	?.		
25	: ?	FLASH 	?.		
30	: ?	WATER PULSE 	?.		
38	: ?	SOAK	?.		
43	: ?	CRUNCH	?.		
47	: ?	DOUBLE EDGE	?.		
52	: ?	WATERFALL	?.		
56	: ?	SWORDS DANCE	?.		
59	: ?	BRUTAL SWING	?.		}.}.
Name		Sailfish	: {	58	:{
1	: ?	SACRED SWORD	?.		
1	: ?	SPLASH	?.		
1	: ?	TACKLE	?.		
1	: ?	BUBBLE	?.		
5	: ?	FOCUS ENERGY	?.		
10	: ?	AQUA JET	?.		
15	: ?	WATER SPORT	?.		
20	: ?	WATER PULSE	?.		
25	: ?	RAIN DANCE	?.		
30	: ?	WHIRLPOOL	?.		
34	: ?	DIVE	?.		
38	: ?	AQUA RING	?.		
42	: ?	SWORDS DANCE	?.		
46	: ?	AERIAL ACE	?.		
51	: ?	AQUA TAIL	?.		
57	: ?	SOAK	?.		
62	: ?	SACRED SWORD	?.		}.}.
Name		Thallasus	: {	59	:{
1	: ?	LIQUIDATION	?.		
1	: ?	DRAGON RAGE	?.		
1	: ?	WATER GUN	?.		
1	: ?	SWORDS DANCE	?.		
1	: ?	NASTY PLOT	?.		
10	: ?	WATER PULSE	?.		
20	: ?	DIVE	?.		
30	: ?	PAYBACK	?.		
40	: ?	PURSUIT	?.		
50	: ?	WATER SPOUT	?.		
60	: ?	HYDRO PUMP	?.		
70	: ?	DRAGON DANCE	?.		
80	: ?	DRAGON PULSE	?.		
90	: ?	PARTING SHOT	?.		
100	: ?	DRAGON RUSH	?.		}.}.
Name		Bass	: {	60	:{
1	: ?	SPLASH	?.		
1	: ?	WATER GUN	?.		
4	: ?	LEER	?.		
7	: ?	TACKLE	?.		
10	: ?	WATER SPORT	?.		
15	: ?	BUG BITE	?.		
18	: ?	HEADBUTT	?.		
21	: ?	FLAIL	?.		
24	: ?	TAKE DOWN	?.		
29	: ?	SOAK	?.		
31	: ?	DIVE	?.		
34	: ?	AQUA TAIL	?.		
41	: ?	AMNESIA	?.		}.}.
Name		Shark	: {	61	:{
1	: ?	CLOSE COMBAT	?.		
1	: ?	LIQUIDATION	?.		
1	: ?	CRUNCH	?.		
1	: ?	WATER GUN	?.		
5	: ?	LEER	?.		
10	: ?	RAGE	?.		
15	: ?	WATER SPORT	?.		
20	: ?	BITE	?.		
25	: ?	HEADBUTT	?.		
30	: ?	FLAIL	?.		
34	: ?	TAKE DOWN	?.		
38	: ?	SOAK	?.		
42	: ?	DIVE	?.		
46	: ?	AQUA TAIL	?.		
51	: ?	BRUTAL SWING	?.		}.}.
Name		Tiger_Shark	: {	62	:{
1	: ?	CLOSE COMBAT	?.		
1	: ?	LIQUIDATION	?.		
1	: ?	CRUNCH	?.		
1	: ?	WATER GUN	?.		
5	: ?	LEER	?.		
10	: ?	RAGE	?.		
15	: ?	WATER SPORT	?.		
20	: ?	BITE	?.		
25	: ?	HEADBUTT	?.		
31	: ?	FLAIL	?.		
35	: ?	TAKE DOWN	?.		
40	: ?	SOAK	?.		
46	: ?	DIVE	?.		
50	: ?	AQUA TAIL	?.		
56	: ?	BRUTAL SWING	?.		
60	: ?	CLOSE COMBAT	?.		}.}.
Name		GreatWhite_Shark	: {	63	:{
1	: ?	CLOSE COMBAT	?.		
1	: ?	LIQUIDATION	?.		
1	: ?	POWER TRIP	?.		
1	: ?	WATER GUN	?.		
5	: ?	LEER	?.		
10	: ?	RAGE	?.		
15	: ?	WATER SPORT	?.		
20	: ?	BITE	?.		
25	: ?	HEADBUTT	?.		
31	: ?	PURSUIT	?.		
35	: ?	TAKE DOWN	?.		
40	: ?	SOAK	?.		
46	: ?	CRUNCH	?.		
50	: ?	AQUA TAIL	?.		
56	: ?	BRUTAL SWING	?.		
60	: ?	SUCKER PUNCH	?.		}.}.
Name		Mackerel	: {	64	:{
1	: ?	SPLASH	?.		
1	: ?	WATER GUN	?.		
4	: ?	LEER	?.		
7	: ?	TACKLE	?.		
10	: ?	WATER SPORT	?.		
15	: ?	BUG BITE	?.		
18	: ?	HEADBUTT	?.		
21	: ?	FLAIL	?.		
24	: ?	TAKE DOWN	?.		
29	: ?	SOAK	?.		
31	: ?	DIVE	?.		
34	: ?	AQUA TAIL	?.		
41	: ?	WHIRLPOOL	?.		}.}.
Name		Catfish	: {	65	:{
1	: ?	WHIRLPOOL	?.		
1	: ?	LIQUIDATION	?.		
1	: ?	THUNDERFANG	?.		
1	: ?	WATER GUN	?.		
5	: ?	LEER	?.		
10	: ?	RAGE	?.		
15	: ?	WATER SPORT	?.		
20	: ?	TICKLE	?.		
25	: ?	HEADBUTT	?.		
30	: ?	FLAIL	?.		
34	: ?	TAKE DOWN	?.		
38	: ?	SWAGGER	?.		
42	: ?	DIVE	?.		
46	: ?	AQUA TAIL	?.		
51	: ?	SCALD	?.		}.}.
Name		Fury_Shark	: {	66	:{
1	: ?	FLARE BLITZ	?.		
1	: ?	LIQUIDATION	?.		
1	: ?	POWER TRIP	?.		
1	: ?	WATER GUN	?.		
5	: ?	LEER	?.		
10	: ?	RAGE	?.		
15	: ?	WATER SPORT	?.		
20	: ?	FIRE FANG	?.		
25	: ?	HEADBUTT	?.		
31	: ?	PURSUIT	?.		
35	: ?	TAKE DOWN	?.		
40	: ?	BULK UP	?.		
46	: ?	CRUNCH	?.		
50	: ?	AQUA TAIL	?.		
56	: ?	BRUTAL SWING	?.		
60	: ?	FLARE BLITZ	?.		}.}.
Name		Tarpon	: {	67	:{
1	: ?	WATER GUN	?.		
6	: ?	TACKLE	?.		
10	: ?	WATER SPORT	?.		
13	: ?	WATER PULSE	?.		
18	: ?	HEADBUTT	?.		
25	: ?	SOAK	?.		
32	: ?	FLAIL	?.		
40	: ?	GROWTH	?.		}.}.
Name		Seerfish	: {	68	:{
1	: ?	CALM MIND	?.		
1	: ?	WATER GUN	?.		
6	: ?	TACKLE	?.		
11	: ?	WATER SPORT	?.		
14	: ?	WATER PULSE	?.		
18	: ?	HEADBUTT	?.		
22	: ?	TAKE DOWN	?.		
26	: ?	SOAK	?.		
32	: ?	MEGA DRAIN	?.		
38	: ?	GROWTH	?.		
42	: ?	DOUBLE EDGE	?.		
44	: ?	CALM MIND	?.		}.}.
Name		Sillago	: {	69	:{
1	: ?	POWER WHIP	?.		
1	: ?	CALM MIND	?.		
1	: ?	WATER GUN	?.		
6	: ?	ABSORB	?.		
11	: ?	WATER SPORT	?.		
14	: ?	WATER PULSE	?.		
19	: ?	HEADBUTT	?.		
23	: ?	MEGA DRAIN	?.		
26	: ?	WORRY SEED	?.		
33	: ?	FLAIL	?.		
38	: ?	GROWTH	?.		
43	: ?	GIGA DRAIN	?.		
46	: ?	CALM MIND	?.		
50	: ?	AROMATHERAPY	?.		}.}.
Name		Wobbegong	: {	70	:{
1	: ?	POWER WHIP	?.		
1	: ?	CALM MIND	?.		
1	: ?	WATER GUN	?.		
6	: ?	ABSORB	?.		
11	: ?	WATER SPORT	?.		
14	: ?	WATER PULSE	?.		
21	: ?	HEADBUTT	?.		
26	: ?	MEGA DRAIN	?.		
28	: ?	WORRY SEED	?.		
35	: ?	FLAIL	?.		
40	: ?	GROWTH	?.		
44	: ?	GIGA DRAIN	?.		
47	: ?	CALM MIND	?.		
51	: ?	AROMATHERAPY	?.		
55	: ?	PETAL DANCE	?.		}.}.
Name		Cod	: {	71	:{
1	: ?	SPLASH	?.		
1	: ?	BUBBLE	?.		
4	: ?	TAIL WHIP	?.		
9	: ?	TACKLE	?.		
13	: ?	BUBBLEBEAM	?.		
17	: ?	TAKE DOWN	?.		
24	: ?	WATER PULSE	?.		
32	: ?	SOAK	?.		
38	: ?	FLAIL	?.		}.}.
Name		Rainbow_Fish	: {	72	:{
1	: ?	SPLASH	?.		
1	: ?	BUBBLE	?.		
4	: ?	TAIL WHIP	?.		
9	: ?	TACKLE	?.		
15	: ?	BUBBLEBEAM	?.		
19	: ?	TAKE DOWN	?.		
22	: ?	FLASH 	?.		
25	: ?	WATER PULSE	?.		
34	: ?	SOAK	?.		
40	: ?	FLAIL	?.		
43	: ?	DAZZLING GLEAM	?.		
48	: ?	MOONLIGHT	?.		}.}.
Name		Golden_Shark	: {	73	:{
1	: ?	NOBLE ROAR	?.		
1	: ?	SPLASH	?.		
1	: ?	BUBBLE	?.		
5	: ?	TAIL WHIP	?.		
9	: ?	BITE	?.		
15	: ?	BUBBLEBEAM	?.		
19	: ?	TAKE DOWN	?.		
23	: ?	FLASH 	?.		
27	: ?	WATER PULSE 	?.		
35	: ?	SOAK	?.		
41	: ?	CRUNCH	?.		
45	: ?	DAZZLING GLEAM	?.		
50	: ?	MOONLIGHT	?.		
54	: ?	LIQUIDATION	?.		}.}.
Name		Baron_Shark	: {	74	:{
1	: ?	NOBLE ROAR	?.		
1	: ?	SPLASH	?.		
1	: ?	BUBBLE	?.		
5	: ?	TAIL WHIP	?.		
9	: ?	BITE	?.		
16	: ?	BUBBLEBEAM	?.		
21	: ?	TAKE DOWN	?.		
25	: ?	FLASH 	?.		
30	: ?	WATER PULSE 	?.		
38	: ?	SOAK	?.		
43	: ?	CRUNCH	?.		
47	: ?	DAZZLING GLEAM	?.		
52	: ?	MOONLIGHT	?.		
56	: ?	LIQUIDATION	?.		
59	: ?	MOONBLAST	?.		}.}.
Name		Desert_Sole	: {	75	:{
1	: ?	SPLASH	?.		
1	: ?	WATER GUN	?.		
6	: ?	CAMOUFLAGE	?.		
6	: ?	MUD SLAP	?.		
12	: ?	MUD SHOT	?.		
18	: ?	WATER PULSE	?.		
24	: ?	REST	?.		
31	: ?	TAKE DOWN	?.		
36	: ?	AMNESIA	?.		
42	: ?	EARTHQUAKE	?.		
48	: ?	DIVE	?.		}.}.
Name		Whitefish	: {	76	:{
1	: ?	SPLASH	?.		
1	: ?	WATER GUN	?.		
6	: ?	CAMOUFLAGE	?.		
6	: ?	MUD SLAP	?.		
12	: ?	MUD SHOT	?.		
18	: ?	WATER PULSE	?.		
24	: ?	REST	?.		
31	: ?	TAKE DOWN	?.		
36	: ?	AMNESIA	?.		
39	: ?	DOUBLE EDGE	?.		
42	: ?	EARTHQUAKE	?.		
45	: ?	DOUBLE TEAM	?.		
48	: ?	DIVE	?.		
52	: ?	HYDRO PUMP	?.		}.}.
Name		Goblin_Fish	: {	77	:{
1	: ?	SPLASH	?.		
1	: ?	WATER GUN	?.		
6	: ?	CAMOUFLAGE	?.		
6	: ?	MUD SLAP	?.		
12	: ?	MUD SHOT	?.		
18	: ?	WATER PULSE	?.		
24	: ?	REST	?.		
31	: ?	TAKE DOWN	?.		
36	: ?	AMNESIA	?.		
39	: ?	DOUBLE EDGE	?.		
42	: ?	EARTHQUAKE	?.		
45	: ?	SCARY FACE	?.		
48	: ?	DIVE	?.		
52	: ?	HYDRO PUMP	?.		
55	: ?	DIG	?.		}.}.
Name		Beltfish	: {	78	:{
1	: ?	CHARGE BEAM	?.		
1	: ?	SPLASH	?.		
1	: ?	WRAP 	?.		
1	: ?	BUBBLE	?.		
5	: ?	FOCUS ENERGY	?.		
10	: ?	AQUA JET	?.		
15	: ?	SOAK	?.		
20	: ?	WATER PULSE	?.		
25	: ?	RAIN DANCE	?.		
30	: ?	WHIRLPOOL	?.		
34	: ?	AQUA TAIL	?.		
38	: ?	AQUA RING	?.		
42	: ?	CHARGE BEAM	?.		
46	: ?	DIVE	?.		
51	: ?	COIL	?.		}.}.
Name		Manta_Ray	: {	79	:{
1	: ?	THUNDER	?.		
1	: ?	SPLASH	?.		
1	: ?	CHARGE BEAM	?.		
1	: ?	BUBBLE	?.		
5	: ?	FOCUS ENERGY	?.		
10	: ?	AQUA JET	?.		
15	: ?	SOAK	?.		
20	: ?	WATER PULSE	?.		
25	: ?	RAIN DANCE	?.		
30	: ?	WHIRLPOOL	?.		
34	: ?	AQUA TAIL	?.		
38	: ?	AQUA RING	?.		
42	: ?	CHARGE BEAM	?.		
46	: ?	SPARKLING ARIA	?.		
51	: ?	THUNDER	?.		
57	: ?	EERIE IMPULSE	?.		
62	: ?	HYDRO PUMP	?.		}.}.
Name		Karambwanji	: {	80	:{
1	: ?	SPLASH	?.		
1	: ?	TACKLE	?.		
5	: ?	WATER SPORT	?.		
9	: ?	WATER GUN	?.		
13	: ?	POISON STING	?.		
17	: ?	AQUA RING	?.		
21	: ?	WATER PULSE	?.		
25	: ?	FLAIL	?.		
29	: ?	AQUA TAIL	?.		
33	: ?	SOAK	?.		
37	: ?	POISON JAB	?.		
41	: ?	U TURN	?.		
45	: ?	HYDRO PUMP	?.		}.}.
Name		Karambwan	: {	81	:{
1	: ?	WRING OUT	?.		
1	: ?	SPLASH	?.		
1	: ?	CONSTRICT	?.		
5	: ?	WATER SPORT	?.		
9	: ?	WATER GUN	?.		
13	: ?	POISON STING	?.		
17	: ?	TOXIC	?.		
21	: ?	WATER PULSE	?.		
27	: ?	POWER WHIP	?.		
33	: ?	AQUA TAIL	?.		
39	: ?	SOAK	?.		
45	: ?	POISON JAB	?.		
51	: ?	WRING OUT	?.		
57	: ?	HYDRO PUMP	?.		}.}.
Name		Giant_Carp	: {	82	:{
1	: ?	SPLASH	?.		
1	: ?	WATER GUN	?.		
6	: ?	CAMOUFLAGE	?.		
6	: ?	MUD SLAP	?.		
12	: ?	MUD SHOT	?.		
18	: ?	WATER PULSE	?.		
24	: ?	REST	?.		
31	: ?	TAKE DOWN	?.		
36	: ?	AMNESIA	?.		
39	: ?	DOUBLE EDGE	?.		
42	: ?	EARTHQUAKE	?.		
48	: ?	DIVE	?.		
52	: ?	HYDRO PUMP	?.		}.}.
Name		Pike	: {	83	:{
1	: ?	SPLASH	?.		
6	: ?	TACKLE	?.		
10	: ?	AQUA JET	?.		
13	: ?	WATER SPORT	?.		
18	: ?	RAIN DANCE	?.		
25	: ?	BUBBLE BEAM	?.		
32	: ?	AQUA RING	?.		
40	: ?	SOAK	?.		}.}.
Name		Monkfish	: {	84	:{
1	: ?	SPLASH	?.		
1	: ?	BITE	?.		
4	: ?	BUBBLE	?.		
7	: ?	FOCUS ENERGY	?.		
10	: ?	AQUA JET	?.		
15	: ?	WATER SPORT	?.		
18	: ?	CRUNCH	?.		
21	: ?	RAIN DANCE	?.		
24	: ?	THUNDERFANG	?.		
29	: ?	AQUA RING	?.		
31	: ?	WATER PULSE	?.		
34	: ?	SOAK	?.		}.}.
Name		Golden_Monkfish	: {	85	:{
1	: ?	DISCHARGE	?.		
1	: ?	FLASH	?.		
1	: ?	BITE	?.		
1	: ?	BUBBLE	?.		
5	: ?	FOCUS ENERGY	?.		
10	: ?	AQUA JET	?.		
15	: ?	CONFUSE RAY	?.		
20	: ?	CRUNCH	?.		
25	: ?	RAIN DANCE	?.		
30	: ?	THUNDERFANG	?.		
34	: ?	AQUA TAIL	?.		
38	: ?	AQUA RING	?.		
42	: ?	DISCHARGE	?.		
46	: ?	DIVE	?.		
51	: ?	TAUNT	?.		}.}.
Name		Angler_Fish	: {	86	:{
1	: ?	DISCHARGE	?.		
1	: ?	FLASH	?.		
1	: ?	BITE	?.		
1	: ?	BUBBLE	?.		
5	: ?	FOCUS ENERGY	?.		
10	: ?	AQUA JET	?.		
15	: ?	CONFUSE RAY	?.		
20	: ?	CRUNCH	?.		
25	: ?	RAIN DANCE	?.		
32	: ?	THUNDERFANG	?.		
35	: ?	AQUA TAIL	?.		
39	: ?	AQUA RING	?.		
44	: ?	DISCHARGE	?.		
47	: ?	DIVE	?.		
52	: ?	TAUNT	?.		
55	: ?	VOLT TACKLE	?.		}.}.
Name		Pet_Fish	: {	87	:{
1	: ?	SPLASH	?.		
4	: ?	FLAIL	?.		
7	: ?	WATER GUN	?.		
9	: ?	WATER SPORT	?.		
13	: ?	AGILITY	?.		
17	: ?	WATER PULSE	?.		
20	: ?	CAPTIVATE	?.		
22	: ?	MUD SHOT	?.		
26	: ?	WHIRLPOOL	?.		
31	: ?	SOAK	?.		
34	: ?	AQUA TAIL	?.		
37	: ?	AMNESIA	?.		
40	: ?	HYDRO PUMP	?.		
42	: ?	AQUA RING	?.		
46	: ?	WATER SPOUT	?.		
49	: ?	PLAY NICE	?.		}.}.
Name		Gilbert	: {	88	:{
1	: ?	SPLASH	?.		
4	: ?	FLAIL	?.		
7	: ?	BUBBLE	?.		
9	: ?	WATER SPORT	?.		
13	: ?	AGILITY	?.		
17	: ?	WATER PULSE	?.		
20	: ?	CAPTIVATE	?.		
23	: ?	MUD SHOT	?.		
27	: ?	BUBBLEBEAM	?.		
31	: ?	SOAK	?.		
34	: ?	AQUA TAIL	?.		
37	: ?	AMNESIA	?.		
40	: ?	HYDRO PUMP	?.		
42	: ?	RAIN DANCE	?.		
46	: ?	WATER SPOUT	?.		
49	: ?	PLAY NICE	?.		
54	: ?	AQUA RING	?.		}.}.
Name		Cavefish	: {	89	:{
1	: ?	SPLASH	?.		
1	: ?	WATER GUN	?.		
5	: ?	ROCK THROW	?.		
10	: ?	IRON DEFENSE	?.		
14	: ?	WATER PULSE	?.		
