, , , , , , , BASE STATS, , , , , , , , EXTRA INFORMATION, , , , , , , , , , , , EFFORT VALUES, , , , , , , Unnecessary Information, , , , , 
99, Tarpon, WATER, -, SAP_SIPPER, RAIN_DISH, , 255, 40, 40, 45, 30, 45, 55, , -, -, 42, medium fast, 50, 80, 50, 20, WATER_2, , 0, , , , 2, , , , , , Fishing, 5120, FISH, Tarpon, WATER_VEIL
100, Seerfish, WATER, -, SAP_SIPPER, RAIN_DISH, , 365, 60, 60, 60, 60, 60, 65, , -, -, 93, medium fast, 50, 130, 50, 20, WATER_2, , 0, , , , 2, , 1, , , , Fishing, 5120, FISH, Seerfish, WATER_VEIL
101, DesertSole, WATER, -, RUN_AWAY, THICK_FAT, , 295, 100, 55, 45, 45, 45, 5, , -, -, 43, erratic, 50, 180, 0, 15, WATER_2, , 0, , 2, , , , , , , , Fishing, 3840, FISH, DesertSole, THICK_FAT
102, Sillago, WATER, GRASS, SAP_SIPPER, RAIN_DISH, , 360, 65, 40, 70, 40, 70, 75, , -, -, 103, medium fast, 50, 80, 50, 20, WATER_2, , 0, , 2, , 1, , , , , , Fishing, 5120, FISH, Sillago, WATER_VEIL
103, Wobbegong, WATER, GRASS, SAP_SIPPER, DRIZZLE, , 500, 85, 70, 100, 70, 100, 75, , -, -, 154, Medium fast, 50, 45, 50, 20, WATER_2, , 0, , , , 2, , 2, , , , Fishing, 5120, FISH, Wobbegong, ROUGH_SKIN
104, Karambwanj, WATER, POISON, POISON_POINT, STICKY_HOLD, , 280, 50, 50, 50, 45, 50, 35, , -, -, 111, fast, 50, 110, 50, 15, WATER_3, , 0, , , 1, 1, , , , , , Fishing, 3840, FISH, Karambwanj, MERCILESS
105, Karambwan, WATER, POISON, POISON_POINT, SUCTION_CUPS, , 495, 95, 90, 90, 85, 85, 50, , -, -, 141, fast, 50, 85, 50, 15, WATER_3, , 0, , , 2, 1, , , , , , Fishing, 3840, FISH, Karambwan, MERCILESS
106, Whitefish, WATER, -, RUN_AWAY, THICK_FAT, , 275, 70, 35, 35, 35, 40, 60, , -, -, 108, erratic, 50, 110, 0, 15, WATER_2, , 0, , , , , , , 1, , , Fishing, 3840, FISH, Whitefish, THICK_FAT
107, Beltfish, WATER, -, DRIZZLE, WATER_VEIL, , 335, 90, 60, 55, 65, 50, 15, , -, -, 156, Medium fast, 50, 120, 70, 20, WATER_2, , 0, , , , , , , 2, , , Fishing, 5120, FISH, Beltfish, WATER_VEIL
108, Manta_Ray, WATER, ELECTRIC, DRIZZLE, STATIC, , 500, 110, 70, 80, 80, 70, 90, , -, -, 156, Medium fast, 50, 45, 70, 20, WATER_2, , 0, , , , , , , 3, , , Fishing, 5120, FISH, Manta Ray, LIGHTNING_ROD
109, Cod, WATER, -, LIMBER, SWIFT_SWIM, , 250, 60, 40, 30, 40, 60, 20, , -, -, 52, medium slow, 50, 200, 70, 20, WATER_2, , 0, , , , , , , 1, , , Fishing, 5120, FISH, Cod, DEFIANT
110, Rainbow, WATER, FAIRY, LIMBER, DAZZLING, , 355, 75, 45, 60, 70, 65, 40, , -, -, 105, medium slow, 50, 120, 50, 20, WATER_2, , 0, , , , , , 2, , , , Fishing, 5120, FISH, Rainbow, DEFIANT
111, Shark_Golden_Form, WATER, FAIRY, ROUGH_SKIN, QUEENLY_MAJESTY, , 500, 70, 95, 60, 95, 95, 85, , -, -, 131, medium slow, 50, 80, 50, 20, WATER_2, , 0, , , , , , 2, , , , Fishing, 5120, FISH, Shark, DEFIANT
112, Pike, WATER, -, WATER_VEIL, WATER_VEIL, , 230, 50, 50, 30, 40, 30, 30, , -, -, 53, fast, 50, 180, 70, 15, WATER_2, , 0, , 1, , , , , , , , Fishing, 3840, FISH, Pike, SWIFT_SWIM
113, Monkfish_Normal_Form, WATER, -, STATIC, WATER_VEIL, , 330, 60, 70, 55, 55, 50, 40, , -, -, 98, fast, 50, 120, 50, 15, WATER_2, , 0, , , 2, , , , , , , Fishing, 3840, FISH, Monkfish, SWIFT_SWIM
114, AnglerFish, WATER, ELECTRIC, STATIC, ILLUMINATE, , 500, 85, 105, 80, 105, 75, 50, , -, -, 147, fast, 50, 45, 0, 15, WATER_2, , 0, , , 2, , , , , , , Fishing, 3840, FISH, AnglerFish, SWIFT_SWIM
115, Giant_Carp, WATER, -, RUN_AWAY, RUN_AWAY, , 230, 50, 45, 35, 40, 30, 30, , -, -, 87, erratic, 50, 140, 0, 15, WATER_2, , 0, , 1, , , , , , , , Fishing, 3840, FISH, Giant Carp, THICK_FAT
116, Monkfish_Fresh_Form, WATER, -, STATIC, WATER_VEIL, , 330, 60, 70, 60, 50, 50, 40, , -, -, 98, fast, 50, 120, 50, 15, WATER_2, , 0, , , 2, , , , , , , Fishing, 3840, FISH, Monkfish, SWIFT_SWIM
117, Monkfish_Golden_Form, WATER, ELECTRIC, STATIC, ILLUMINATE, , 500, 95, 100, 80, 90, 75, 60, , -, -, 148, fast, 50, 85, 30, 15, WATER_2, , 0, , , 2, , , , , , , Fishing, 3840, FISH, Monkfish, SWIFT_SWIM
118, GoblinFish, WATER, GROUND, HUGE_POWER, THICK_FAT, , 480, 160, 75, 70, 75, 80, 20, , -, -, 136, erratic, 50, 65, 0, 15, WATER_2, , 0, , 3, , , , , , , , Cooking, 3840, FISH, GoblinFish, THICK_FAT
119, Pet_Fish, WATER, -, OBLIVIOUS, SIMPLE, , 450, 100, 10, 10, 200, 100, 30, , -, -, 120, fluctuating, 50, 45, 70, 15, WATER_2, , 0, , , , , 2, , , , , Crafting, 3840, FISH, Pet Fish, SIMPLE
120, Gilbert, WATER, -, WATER_BUBBLE, WATER_ABSORB, , 330, 35, 35, 80, 35, 70, 75, , -, -, 110, medium fast, 50, 75, 70, 20, WATER_2, , 0, , , , , 2, , , , , Fishing, 5120, FISH, Gilbert, WATER_BUBBLE
121, Cavefish, WATER, ROCK, SOLID_ROCK, ROCK_HEAD, , 270, 50, 50, 50, 35, 35, 50, , -, -, 123, medium slow, 50, 100, 70, 20, MINERAL, WATER_2, 0, , , , 2, , , , , , Fishing, 5120, FISH, Cavefish, SOLID_ROCK
122, Rocktail, WATER, ROCK, SOLID_ROCK, ROCK_HEAD, , 500, 70, 100, 120, 80, 80, 50, , -, -, 141, medium slow, 35, 50, 70, 20, MINERAL, WATER_2, 0, , , , 2, , , , , , Fishing, 5120, FISH, Rocktail, SOLID_ROCK
123, Eel_Slimy_Form, ELECTRIC, -, LIQUID_OOZE, STICKY_HOLD, , 280, 60, 40, 45, 55, 50, 30, , -, -, 52, fast, 50, 250, 70, 15, WATER_2, LIFE, 0, , 1, , , , , , , , Fishing, 3840, EEL, Eel, GOOEY
124, Eel_Cave_Form, ELECTRIC, -, LIQUID_OOZE, STICKY_HOLD, , 390, 70, 65, 65, 70, 70, 50, , -, -, 89, fast, 50, 110, 70, 15, WATER_2, LIFE, 0, , , , , , 2, , , , Fishing, 3840, EEL, Eel, GOOEY
125, Eel_Sacred_Form, ELECTRIC, GHOST, LIQUID_OOZE, WONDER_GUARD, , 480, 80, 72, 60, 105, 100, 63, , -, -, 131, fast, 50, 45, 70, 15, WATER_2, LIFE, 0, , , , , 1, 2, , , , Prayer, 3840, EEL, Eel, GOOEY
126, Eel_Lava_Form, ELECTRIC, FIRE, FLAME_BODY, MAGMA_ARMOR, , 390, 70, 70, 70, 80, 60, 40, , -, -, 142, fast, 50, 110, 70, 15, WATER_2, LIFE, 0, , , , , 2, , , , , Fishing, 3840, EEL, Eel, LIGHTNING_ROD
127, Eel_Infernal_Form, ELECTRIC, FIRE, FLAME_BODY, MAGMA_ARMOR, , 480, 60, 80, 81, 105, 74, 80, , -, -, 141, fast, 50, 45, 70, 15, WATER_2, LIFE, 0, , , , , 2, 1, , , , Fishing, 3840, EEL, Eel, LIGHTNING_ROD
128, Eel_Mottled_Form, ELECTRIC, -, LIQUID_OOZE, STICKY_HOLD, , 390, 70, 70, 64, 63, 63, 60, , -, -, 146, fast, 50, 45, 70, 15, WATER_2, LIFE, 0, , , , 1, , , 2, , , Hunter, 3840, EEL, Eel, GOOEY
129, Eel_Short_Finned_Form, ELECTRIC, -, LIQUID_OOZE, SWIFT_SWIM, , 390, 60, 65, 60, 70, 80, 55, , -, -, 97, fast, 50, 110, 70, 15, WATER_2, LIFE, 0, , 2, , , , , , , , Dungeoneering, 3840, EEL, Eel, GOOEY
130, Eel_Salve_Form, ELECTRIC, FAIRY, LIQUID_OOZE, SERENE_GRACE, , 480, 70, 80, 64, 93, 110, 63, , -, -, 153, fast, 50, 45, 70, 15, WATER_2, LIFE, 0, , , , , 2, 1, , , , Dungeoneering, 3840, EEL, Eel, GOOEY
131, Eel_Dusk_Form, ELECTRIC, DARK, LIQUID_OOZE, GOOEY, , 480, 83, 63, 74, 85, 85, 90, , -, -, 153, fast, 50, 45, 70, 15, WATER_2, LIFE, 0, , , , , 1, 2, , , , Dungeoneering, 3840, EEL, Eel, GOOEY
132, Cave_Moray, ELECTRIC, POISON, LIQUID_OOZE, GOOEY, , 480, 90, 83, 90, 63, 74, 80, , -, -, 153, fast, 50, 45, 70, 15, WATER_2, LIFE, 0, , , , 2, , , , , , Dungeoneering, 3840, EEL, Cave Moray, GOOEY
133, Vile_Fish, ELECTRIC, POISON, STENCH, GOOEY, , 390, 60, 80, 60, 55, 65, 70, , -, -, 71, fast, 50, 45, 70, 15, WATER_2, , 0, , , , 2, , , , , , Cooking, 3840, EEL, Vile Fish, STENCH
134, Piglet, GROUND, -, THICK_FAT, PICKUP, , 281, 80, 55, 30, 46, 30, 40, , -, -, 151, Medium fast, 50, 250, 70, 20, FIELD, , 0, , 1, , , , , , , , Cooking, 5120, PIG, Piglet, PICKUP
135, Pig, GROUND, -, THICK_FAT, PICKUP, , 385, 120, 75, 45, 55, 40, 50, , -, -, 151, Medium fast, 50, 120, 70, 20, FIELD, , 0, , 2, , , , , , , , Cooking, 5120, PIG, Pig, PICKUP
136, Pigzilla, GROUND, -, THICK_FAT, PICKUP, , 505, 170, 100, 50, 75, 65, 45, , -, -, 151, Medium fast, 50, 120, 70, 20, FIELD, , 0, , 3, , , , , , , , Farming, 5120, PIG, Pigzilla, PICKUP
137, Puppy_Pup_Form, NORMAL, -, CUTE_CHARM, CUTE_CHARM, , 270, 45, 45, 45, 45, 45, 45, , -, -, 43, medium slow, 50, 220, 70, 20, FIELD, LIFE, 0, , , , , , , 1, , , Summoning, 5120, DOG, Puppy, MAGICIAN
138, Puppy_Mutt_Form, NORMAL, -, INTIMIDATE, INTIMIDATE, , 270, 45, 45, 45, 45, 45, 45, , -, -, 38, medium slow, 50, 220, 70, 20, FIELD, LIFE, 0, , , , , , , 1, , , Summoning, 5120, DOG, Puppy, PICKPOCKET
139, Terrier, NORMAL, ROCK, SIMPLE, ROCK_HEAD, , 515, 105, 95, 100, 75, 85, 55, , -, -, 154, medium slow, 50, 45, 70, 20, FIELD, LIFE, 0, , , , 2, , , , , , Summoning, 5120, DOG, Terrier, SIMPLE
140, Sheepdog, NORMAL, DARK, UNBURDEN, OWN_TEMPO, , 515, 85, 75, 75, 100, 105, 75, , -, -, 143, medium slow, 50, 45, 70, 20, FIELD, LIFE, 0, , , 2, , , , , , , Summoninng, 5120, DOG, Sheepdog, UNBURDEN
141, Dalmatian, NORMAL, WATER, SWIFT_SWIM, OWN_TEMPO, , 515, 80, 80, 80, 95, 75, 105, , -, -, 153, medium slow, 50, 45, 70, 20, FIELD, LIFE, 0, , , , , 2, , , , , Agility, 5120, DOG, Dalmatian, SWIFT_SWIM
142, Greyhound, NORMAL, FIGHTING, LIMBER, OWN_TEMPO, , 515, 60, 105, 65, 90, 75, 120, , -, -, 143, medium slow, 50, 45, 70, 20, FIELD, LIFE, 0, , , , , , , 2, , , Agility, 5120, DOG, Greyhound, 
143, Bulldog, NORMAL, GROUND, HUSTLE, OWN_TEMPO, , 515, 110, 110, 100, 65, 65, 65, , -, -, 143, medium slow, 50, 45, 70, 20, FIELD, LIFE, 0, , , 1, 1, , , , , , Strenght, 5120, DOG, Bulldog, RECKLESS
144, Labrador, NORMAL, ELECTRIC, CUTE_CHARM, OWN_TEMPO, , 515, 80, 80, 75, 110, 95, 75, , -, -, 153, medium slow, 50, 45, 70, 20, FIELD, LIFE, 0, , , , , 1, , 1, , , Invention, 5120, DOG, Labrador, CUTE_CHARM
145, Corgi, NORMAL, FAIRY, QUEENLY_MAJESTY, PRANKSTER, , 515, 75, 110, 90, 45, 110, 85, , -, -, 153, medium slow, 50, 45, 70, 20, FIELD, LIFE, 0, , , , , , 2, , , , Quest, 5120, DOG, Corgi, PRANKSTER
146, Terror_Dog, DARK, POISON, RECKLESS, PRESSURE, , 515, 110, 110, 110, 80, 75, 30, , -, -, 153, medium slow, 50, 45, 70, 20, FIELD, LIFE, 0, , 1, 1, , , , , , , Slayer, 5120, DOG, Terror Dog, STRONG_JAW
147, Stray_Dog, NORMAL, POISON, STENCH, OWN_TEMPO, , 515, 105, 105, 45, 105, 45, 110, , -, -, 153, medium slow, 50, 45, 70, 20, FIELD, LIFE, 0, , 2, , , , , , , , Herblore, 5120, DOG, Stray Dog, GLUTTONY
148, Muncher, FIRE, GHOST, INTIMIDATE, PRESSURE, , 515, 45, 130, 35, 130, 85, 90, , -, -, 123, medium slow, 50, 45, 70, 20, FIELD, LIFE, 0, , , , 2, , , , , , Quest, 5120, DOG, Muncher, RECKLESS
149, Hellpuppy, NORMAL, FIRE, INTIMIDATE, CLEAR_BODY, , 330, 55, 55, 55, 55, 55, 55, , -, -, 85, slow, 50, 50, 70, 20, FIELD, LIFE, 0, , , , 2, , , , , , Attack, 5120, DOG, Hellpuppy, FLAME_BODY
150, Hellhound, FIRE, DARK, INTIMIDATE, PRESSURE, , 515, 110, 110, 55, 75, 55, 110, , -, -, 160, slow, 50, 25, 70, 20, FIELD, LIFE, 0, , , 2, , , , , , , Attack, 5120, DOG, Hellhound, FLAME_BODY
151, Cerberus, FIRE, DARK, INTIMIDATE, PRESSURE, , 600, 100, 115, 80, 115, 90, 100, , -, -, 160, slow, 50, 5, 70, 20, FIELD, LIFE, 0, , , 1, , 1, , 1, , , Attack, 5120, DOG, Cerberus, FLAME_BODY
152, Kitten, NORMAL, -, CUTE_CHARM, NORMALIZE, , 270, 35, 60, 35, 30, 40, 70, , -, -, 48, medium slow, 50, 255, 70, 20, FAIRY, FIELD, 0, , , , , , , 1, , , Quest, 5120, CAT, Kitten, NORMALIZE
153, Cat_Normal_Form, NORMAL, -, CUTE_CHARM, NORMALIZE, , 350, 40, 55, 50, 65, 50, 90, , -, -, 97, medium slow, 50, 90, 70, 20, FAIRY, FIELD, 0, , , , , , , 2, , , Quest, 5120, CAT, Cat, NORMALIZE
154, Cat_Overgrown_Form, NORMAL, -, CUTE_CHARM, NORMALIZE, , 510, 100, 75, 85, 68, 85, 97, , -, -, 99, medium slow, 50, 90, 70, 20, FAIRY, FIELD, 0, , 2, , , , , , , , Quest, 5120, CAT, Cat, NORMALIZE
155, Cat_Lazy_Form, NORMAL, POISON, TRUANT, COMATOSE, , 510, 120, 65, 95, 80, 95, 55, , -, -, 101, medium slow, 50, 90, 70, 20, FAIRY, FIELD, 0, , 2, , , , , , , , Quest, 5120, CAT, Cat, COMATOSE
156, Cat_Wily_Form, NORMAL, FIGHTING, VITAL_SPIRIT, GUTS, , 510, 65, 110, 90, 60, 70, 115, , -, -, 98, medium slow, 50, 90, 70, 20, FAIRY, FIELD, 0, , , 2, , , , , , , Agility, 5120, CAT, Cat, TOUGH_CLAWS
157, Cat_Purple_Form, NORMAL, PSYCHIC, CUTE_CHARM, PSYCHIC_SURGE, , 510, 65, 70, 65, 110, 103, 97, , -, -, 101, medium slow, 50, 90, 70, 20, FAIRY, FIELD, 0, , , , , 2, , , , , Magic, 5120, CAT, Cat, PSYCHIC_SURGE
158, Cat_Hell_Form, NORMAL, FIRE, INTIMIDATE, AVERNIC, , 510, 75, 90, 53, 105, 80, 107, , -, -, 98, medium slow, 50, 90, 70, 20, FAIRY, FIELD, 0, , , 2, , , , , , , Quest, 5120, CAT, Cat, PRESSURE
159, Cat_Post_Form, NORMAL, FLYING, PICKUP, STAKEOUT, , 510, 63, 80, 75, 80, 85, 127, , -, -, 96, medium slow, 50, 90, 70, 20, FAIRY, FIELD, 0, , , , , , , 2, , , Agility, 5120, CAT, Cat, PICKPOCKET
160, Cat_Sunken_Form, NORMAL, WATER, LIQUID_VOICE, WATER_VEIL, , 510, 73, 70, 70, 90, 120, 87, , -, -, 93, medium slow, 50, 90, 70, 20, FAIRY, FIELD, 0, , , , , , 2, , , , Quest, 5120, CAT, Cat, LIQUID_VOICE
161, Bob, NORMAL, FAIRY, COMPETITIVE, RUN_AWAY, , 510, 100, 90, 82, 96, 50, 92, , -, -, 98, medium slow, 0, 90, 70, 20, FAIRY, FIELD, 0, , , , , 2, , , , , Quest, 5120, CAT, Bob, PRESSURE
162, Evil_Bob, DARK, FAIRY, INTIMIDATE, STAKEOUT, , 510, 100, 96, 50, 90, 82, 92, , -, -, 98, medium slow, 50, 90, 70, 20, FAIRY, FIELD, 0, , , , , 2, , , , , Fishing, 5120, CAT, Evil Bob, PRESSURE
163, Pet_Rock, ROCK, -, STURDY, PICKUP, , 443, 80, 1, 180, 1, 180, 1, , -, -, 135, fluctuating, 50, 45, 70, 15, MINERAL, , 0, , , , 2, , 2, , , , Mining, 3840, ROCK, Pet Rock, PICKUP
164, Rock_Polished_Form, ROCK, -, UNBURDEN, DAZZLING, , 443, 40, 1, 180, 1, 180, 41, , -, -, 135, fluctuating, 50, 45, 70, 15, MINERAL, , 0, , , , 2, , 1, 1, , , Quest, 3840, ROCK, Rock, DAZZLING
165, Pillar, ROCK, -, ADAPTABILITY, HEAVY_METAL, , 443, 80, 180, 1, 180, 1, 1, , -, -, 135, fluctuating, 50, 45, 70, 15, MINERAL, , 0, , , 3, , 3, , , , , Quest, 3840, ROCK, Pillar, HEAVY_METAL
166, Rock_Soup, ROCK, WATER, STORM_DRAIN, SAP_SIPPER, , 443, 80, 21, 160, 21, 160, 1, , -, -, 135, fluctuating, 50, 45, 70, 15, MINERAL, , 0, , , , 3, , 1, , , , Cooking, 3840, ROCK, Rock, SAP_SIPPER
167, Slagilith, ROCK, PSYCHIC, STURDY, SOLID_ROCK, , 443, 80, 50, 120, 50, 120, 23, , -, -, 135, fluctuating, 50, 45, 70, 15, MINERAL, , 0, , , , 3, , , 1, , , Magic, 3840, ROCK, Slagilith, SOLID_ROCK
168, Rock_Strange_Form, ROCK, GHOST, WEAK_ARMOR, STURDY, , 443, 40, 1, 160, 1, 160, 81, , -, -, 115, fluctuating, 50, 45, 70, 15, MINERAL, , 0, , , , 2, , 2, , , , Mining, 3840, ROCK, Rock, STURDY
169, Rock_Golden_Form, ROCK, STEEL, WEAK_ARMOR, STURDY, , 443, 40, 6, 155, 6, 155, 81, , -, -, 115, fluctuating, 50, 45, 70, 15, MINERAL, , 0, , , , 2, , 2, , , , Mining, 3840, ROCK, Rock, STURDY
170, Party_Rock, ROCK, DRAGON, DANCER, TRUANT, , 443, 70, 1, 180, 1, 180, 11, , -, -, 150, fluctuating, 50, 45, 70, 15, MINERAL, , 0, , , , 2, , , 2, , , Agility, 3840, ROCK, Party Rock, TRUANT
171, Strykewyrm_Freezy_Form, DRAGON, ICE, CLEAR_BODY, ARENA_TRAP, , 555, 110, 80, 85, 130, 100, 50, , -, -, 145, slow, 50, 45, 70, 15, DRAGON, MINERAL, 0, , 2, , , , , , , , Slayer, 3840, SLAYER, Strykewyrm, SLUSH_RUSH
172, Strykewyrm_Leafy_Form, DRAGON, GRASS, POISON_POINT, ARENA_TRAP, , 555, 110, 130, 80, 100, 85, 50, , -, -, 145, slow, 50, 45, 70, 15, DRAGON, MINERAL, 0, , 2, , , , , , , , Slayer, 3840, SLAYER, Strykewyrm, CHLOROPHYLL
173, Strykewyrm_Sandy_Form, DRAGON, GROUND, SAND_VEIL, ARENA_TRAP, , 555, 110, 50, 90, 75, 100, 130, , -, -, 132, slow, 50, 45, 70, 15, DRAGON, MINERAL, 0, , , , , , , 2, , , Slayer, 3840, SLAYER, Strykewyrm, SLUSH_RUSH
174, Strykewyrm_Wildy_Form, DRAGON, FIRE, MAGMA_ARMOR, ARENA_TRAP, , 555, 110, 100, 80, 130, 50, 85, , -, -, 132, slow, 50, 45, 70, 15, DRAGON, MINERAL, 0, , 2, , , , , , , , Slayer, 3840, SLAYER, Strykewyrm, FLAME_BODY
175, Scorpling, BUG, GROUND, SNIPER, POISON_POINT, , 200, 50, 35, 32, 21, 32, 30, , -, -, 47, ERRATIC, 50, 255, 70, 20, BUG, WATER_3, 0, , , 1, , , , , , , Attack, 5120, SCORPION, Scorpling, SNIPER
176, Scorpion_Normal_Form, BUG, GROUND, SNIPER, POISON_POINT, , 365, 65, 80, 55, 55, 55, 55, , -, -, 123, ERRATIC, 50, 90, 70, 20, BUG, WATER_3, 0, , , 2, , , , , , , Attack, 5120, SCORPION, Scorpion, SNIPER
177, Scorpion_Pit_Form, BUG, POISON, SNIPER, POISON_TOUCH, , 365, 65, 80, 55, 65, 45, 55, , -, -, 123, ERRATIC, 50, 90, 70, 20, BUG, WATER_3, 0, , , 2, , , , , , , Attack, 5120, SCORPION, Scorpion, SNIPER
178, Scorpion_Poison_Form, BUG, POISON, MERCILESS, CORROSION, , 495, 80, 70, 110, 70, 90, 75, , -, -, 130, ERRATIC, 50, 90, 70, 20, BUG, WATER_3, 0, , , 2, , , , , , , Herblore, 5120, SCORPION, Scorpion, MERCILESS
179, Scorpion_King_Form, BUG, GROUND, SNIPER, POISON_POINT, , 495, 100, 130, 65, 65, 70, 65, , -, -, 130, ERRATIC, 50, 90, 70, 20, BUG, WATER_3, 0, , , 2, , , , , , , Attack, 5120, SCORPION, Scorpion, SNIPER
180, Scorpion_Grave_Form, BUG, GROUND, SAND_VEIL, POISON_TOUCH, , 495, 75, 120, 85, 65, 65, 85, , -, -, 120, ERRATIC, 50, 90, 70, 20, BUG, WATER_3, 0, , , 2, , , , , , , Attack, 5120, SCORPION, Scorpion, SNIPER
181, Scorpion_Corrupted_Form, DARK, POISON, CURSED_BODY, POISON_POINT, , 495, 65, 100, 105, 95, 45, 85, , -, -, 120, ERRATIC, 50, 90, 70, 20, BUG, WATER_3, 0, , , 2, , , , , , , Attack, 5120, SCORPION, Scorpion, FRISK
182, Scorpion_Reanimated_Form, BUG, GHOST, CURSED_BODY, CLEAR_BODY, , 495, 55, 65, 65, 110, 95, 105, , -, -, 120, ERRATIC, 50, 90, 70, 20, BUG, WATER_3, 0, , , 2, , , , , , , Prayer, 5120, SCORPION, Scorpion, CURSED_BODY
183, Scorpion_Gauntlet_Crystalline_Form, BUG, ICE, CLEAR_BODY, POISON_TOUCH, , 495, 75, 95, 100, 65, 95, 65, , -, -, 120, ERRATIC, 50, 90, 70, 20, BUG, WATER_3, 0, , , 1, 1, , , , , , Crafting, 5120, SCORPION, Scorpion, SHELL_ARMOR
184, Scorpion_Gauntlet_Corrupted_Form, ROCK, FIGHTING, FILTER, POISON_POINT, , 495, 75, 75, 75, 100, 100, 70, , -, -, 120, ERRATIC, 50, 90, 70, 20, BUG, WATER_3, 0, , , 1, 1, , , , , , Crafting, 5120, SCORPION, Scorpion, SHELL_ARMOR
185, Scorpion_Khazard_Form, BUG, DARK, SNIPER, MERCILESS, , 495, 85, 120, 70, 100, 55, 65, , -, -, 120, ERRATIC, 50, 90, 70, 20, BUG, WATER_3, 0, , , 2, , , , , , , Attack, 5120, SCORPION, Scorpion, SNIPER
186, Scorpion_Spirit_Form, BUG, FAIRY, SNIPER, CORROSION, , 495, 55, 110, 75, 90, 75, 90, , -, -, 110, ERRATIC, 50, 90, 70, 20, BUG, WATER_3, 0, , , , , 2, , , , , Summoning, 5120, SCORPION, Scorpion, NO_GUARD
187, Scorpia, BUG, POISON, SNIPER, MERCILESS, , 600, 100, 130, 115, 100, 100, 55, , -, -, 120, ERRATIC, 50, 90, 70, 20, BUG, WATER_3, 0, , , 2, , 2, , , , , Attack, 5120, SCORPION, Scorpia, SNIPER
188, Dreadnip, BUG, FIGHTING, TOUGH_CLAWS, POISON_POINT, , 495, 55, 90, 75, 90, 80, 105, , -, -, 120, ERRATIC, 50, 90, 70, 20, BUG, WATER_3, 0, , , , , , , 2, , , Attack, 5120, SCORPION, Dreadnip, WEAK_ARMOR
189, Peepling, PSYCHIC, -, LEVITATE, SEEKER, , 315, 45, 25, 25, 90, 100, 30, , -, -, 49, medium fast, 50, 190, 70, 10, AMORPHOUS, , 0, , , , , 1, , 1, , , Dungeoneering, 2560, , Peepling, PRESSURE
190, Sneakrpeep, PSYCHIC, -, LEVITATE, SEEKER, , 520, 100, 30, 85, 125, 140, 40, , -, -, 104, medium fast, 50, 200, 70, 10, AMORPHOUS, , 0, , , , , 2, , 1, , , Dungeoneering, 2560, , Sneakrpeep, PRESSURE
191, Runtstable, GRASS, POISON, EFFECT_SPORE, EFFECT_SPORE, , 295, 50, 75, 50, 30, 40, 50, , -, -, 47, fluctuating, 50, 90, 70, 20, GRASS, , 0, , , 2, , , , , , , Herblore, 5120, SLAYER, Runtstable, STRONG_JAW
192, Basilisk, ROCK, DRAGON, PETRIFY, ROCK_HEAD, , 530, 91, 105, 100, 80, 100, 54, , -, -, 143, slow, 12.5, 45, 0, 120, MONSTER, MINERAL, 0, , , 2, 1, , , , , , Slayer, 30720, SLAYER, Basilisk, SNIPER
193, Baby_Mole, GROUND, -, QUICK_FEET, CUTE_CHARM, , 345, 44, 60, 56, 55, 40, 90, , -, -, 103, slow, 50, 200, 70, 20, FIELD, , 0, , , 1, , , , , , , Farming, 5120, MOLE, Baby Mole, CUTE_CHARM
194, Giant_Mole, GROUND, -, QUICK_FEET, ARENA_TRAP, , 610, 135, 120, 100, 90, 100, 65, , -, -, 253, slow, 75, 3, 0, 120, FIELD, , 0, , , 3, , , , , , , Mining, 30720, MOLE, Giant Mole, SAND_STREAM
195, Squirrel, NORMAL, -, PICKUP, PRANKSTER, , 425, 65, 65, 65, 65, 65, 100, , -, -, 46, Fast, 75, 250, 70, 10, FAIRY, , 0, , , , , , , 1, , , Hunter, 2560, HUNTER, Squirrel, PICKPOCKET
196, Ravenling, DARK, -, KEEN_EYE, INSOMNIA, , 205, 35, 35, 30, 30, 30, 45, , -, -, 52, medium fast, 50, 220, 0, 20, FLYING, , 0, , , , , , , 1, , , Thieving, 5120, BIRD, Ravenling, PICKPOCKET
197, Raven_Normal_Form, DARK, FLYING, KEEN_EYE, INSOMNIA, , 535, 85, 110, 75, 100, 60, 105, , -, -, 120, medium fast, 50, 120, 0, 20, FLYING, , 0, , , , , , , 2, , , Thieving, 5120, BIRD, Raven, PICKPOCKET
198, Raven_Nevermore_Form, DARK, FLYING, KEEN_EYE, PICKPOCKET, , 525, 90, 95, 75, 105, 80, 80, , -, -, 120, medium fast, 50, 120, 0, 20, FLYING, , 0, , , , , 1, , 1, , , Thieving, 5120, BIRD, Raven, PICKPOCKET
199, Raven_Spooky_Form, DARK, GHOST, KEEN_EYE, MAGICIAN, , 525, 95, 95, 55, 80, 100, 100, , -, -, 120, medium fast, 50, 120, 0, 20, FLYING, , 0, , , , , , 2, , , , Thieving, 5120, BIRD, Raven, 
200, Raven_Crystal_Form, DARK, ICE, KEEN_EYE, SLUSH_RUSH, , 525, 90, 85, 105, 70, 105, 70, , -, -, 120, medium fast, 50, 120, 0, 20, FLYING, , 0, , , , , , 2, , , , Thieving, 5120, BIRD, Raven, 
201, Crow, DARK, -, PICKUP, PICKPOCKET, , 300, 40, 40, 30, 50, 60, 80, , -, -, 52, medium fast, 50, 250, 0, 20, FLYING, , 0, , , , , , , 1, , , Thieving, 5120, BIRD, Crow, 
